STATEWIDE COUNTY REPORT,,,,,,,,,,,,,,
,,,Total,% Index,,,,,,,Motor,Crime Rate,% Rate,Clearance
January - December 2021,,,Crime,Change,,,,Aggravated,,,Vehicle,"Per 100,00",Change,Rate /
Annual Report,Year,Population,Index,2020/2021,Murder,Rape,Robbery,Assault(1),Burglary,Larceny,Theft,Population,2020/2021,100 Offenses
,,,,,,,,,,,,,,
Wakulla County,2020,"33,981",503,,2,7,4,69,112,282,27,"1,480.2",,83.9
FL065,2021,"34,311",303,-39.8,1,7,4,31,34,197,29,883.1,-40.3,57.1
 - Wakulla County 2021 estimate based upon data representing 100.0% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Walton County,2020,"74,724",984,,1,23,7,89,174,616,74,"1,316.8",,29.1
FL066,2021,"77,941","1,066",8.3,6,35,11,120,171,652,71,"1,367.7",3.9,28.6
 - Walton County 2021 estimate based upon data representing 100.0% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Washington County,2020,"25,334",291,,1,3,1,38,45,173,30,"1,148.7",,54.6
FL067,2021,"24,995",--,--,--,--,--,--,--,--,--,--,--,--
 - Washington County 2021 estimate unavailable due to limited size of data sample (0.0% of population),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Florida,2020,"21,596,068","466,047",,"1,293","7,655","13,514","60,828","52,089","292,519","38,150","2,158.0",,25.5
Statewide,2021,"21,898,945","427,524",-8.3,"1,110","8,700","11,155","59,858","44,207","266,798","35,696","1,952.3",-9.5,24.6
 - Statewide estimate based upon data representing 57.5% of population,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
(1) Aggravated Assault includes Aggravated Assault and Aggravated Stalking.,,,,,,,,,,,,,,
"Note: Percent changes in number and rate should be interpreted with caution.  In small counties with low numbers of crime, a small increase in crime can produce a large percent change.    ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"SOURCE: Florida Department of Law Enforcement.  Crime in Florida, 2021 Florida uniform crime report [Computer program].",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
